Seed,Price (Regular),Price (Silver),Price (Gold),Price (Iridium),Growth Time (In Days),Purchase Source,Name,Season,Sell Price (Seed),Regrowth Time (In Days),XP
Jazz Seeds,50,62,75,100,7,"[""Pierre's"", 'JojaMart']", Blue Jazz,Spring,15,,
Carrot Seeds,35,43,52,70,3,[], Carrot,Spring,15,,
Cauliflower Seeds,175,218,262,350,12,"[""Pierre's"", 'JojaMart']", Cauliflower,Spring,40,,
Coffee Bean,15,18,22,30,10,"['Traveling Cart', 'Dust Sprite']",, Spring •  Summer,,2 days,4 Farming XP per harvest
Garlic Seeds,60,75,90,120,4,"[""Pierre's""]", Garlic,Spring,20,,
Bean Starter,40,50,60,80,10,"[""Pierre's"", 'JojaMart']", Green Bean,Spring,30, 3 days,
Kale Seeds,110,137,165,220,6,"[""Pierre's"", 'JojaMart']", Kale,Spring,35,,
Parsnip Seeds,35,43,52,70,4,"[""Pierre's"", 'JojaMart']", Parsnip,Spring,10,,
Potato Seeds,80,100,120,160,6,"[""Pierre's"", 'JojaMart']", Potato,Spring,25,,
Rhubarb Seeds,220,275,330,440,13,['Oasis'], Rhubarb,Spring,50,,
Strawberry Seeds,120,150,180,240,8,['Egg Festival'], Strawberry,Spring,0,4 days,
Tulip Bulb,30,37,45,60,6,"[""Pierre's"", 'JojaMart']", Tulip,Spring,10,,
Rice Shoot,30,37,45,60,8,"[""Pierre's""]", Unmilled Rice,Spring,20,,
Blueberry Seeds,50,62,75,100,13,"[""Pierre's""]", Blueberry,Summer,40, 4 days,
Corn Seeds,50,62,75,100,14,"[""Pierre's"", 'JojaMart']", Corn,"
 Summer •  Fall",75,4 days,
Hops Starter,25,31,37,50,11,"[""Pierre's"", 'JojaMart']", Hops,Summer,30, 1 day,
Pepper Seeds,40,50,60,80,5,"[""Pierre's"", 'JojaMart']", Hot Pepper,Summer,20, 3 days,
Melon Seeds,250,312,375,500,12,"[""Pierre's"", 'JojaMart']", Melon,Summer,40,,
Poppy Seeds,140,175,210,280,7,"[""Pierre's"", 'JojaMart']", Poppy,Summer,50,,
Radish Seeds,90,112,135,180,6,"[""Pierre's"", 'JojaMart']", Radish,Summer,20,,
Red Cabbage Seeds,260,325,390,520,9,"[""Pierre's""]", Red Cabbage,Summer,50,,
Starfruit Seeds,750,937,1125,1500,13,['Oasis'], Starfruit,Summer,200,,
Spangle Seeds,90,112,135,180,8,"[""Pierre's"", 'JojaMart']", Summer Spangle,Summer,25,,
Summer Squash Seeds,45,56,67,90,6,[], Summer Squash,Summer,20, 3 days,
Sunflower Seeds,80,100,120,160,8,"[""Pierre's"", 'JojaMart']", Sunflower,"
 Summer •  Fall",edit,,
Tomato Seeds,60,75,90,120,11,"[""Pierre's"", 'JojaMart']", Tomato,Summer,25, 4 days,
Wheat Seeds,25,31,37,50,4,"[""Pierre's"", 'JojaMart']", Wheat,"
 Summer •  Fall",5,,
Amaranth Seeds,150,187,225,300,7,"[""Pierre's"", 'JojaMart']", Amaranth,Fall,35,,
Artichoke Seeds,160,200,240,320,8,"[""Pierre's""]", Artichoke,Fall,15,,
Beet Seeds,100,125,150,200,6,['Oasis'], Beet,Fall,10,,
Bok Choy Seeds,80,100,120,160,4,"[""Pierre's"", 'JojaMart']", Bok Choy,Fall,25,,
Broccoli Seeds,70,87,105,140,8,[], Broccoli,Fall,40, 4 days,
Cranberry Seeds,75,93,112,150,7,"[""Pierre's"", 'JojaMart']", Cranberries,Fall,60, 5 days,
Eggplant Seeds,60,75,90,120,5,"[""Pierre's"", 'JojaMart']", Eggplant,Fall,10, 5 days,
Fairy Seeds,290,362,435,580,12,"[""Pierre's"", 'JojaMart']", Fairy Rose,Fall,100,,
Grape Starter,80,100,120,160,10,"[""Pierre's"", 'JojaMart']", Grape,Fall,30, 3 days,
Pumpkin Seeds,320,400,480,640,13,"[""Pierre's"", 'JojaMart']", Pumpkin,Fall,50,,
Yam Seeds,160,200,240,320,10,"[""Pierre's"", 'JojaMart']", Yam,Fall,30,,
Powdermelon Seeds,60,75,90,120,7,[], Powdermelon,Winter,20,,
Ancient Seeds,550,687,825,1100,28,['Crafting Recipe'], Ancient Fruit,"
 Spring •  Summer •  Fall",30, 7 days,
Cactus Seeds,75,93,112,150,12,['Oasis'], Cactus Fruit,"
 All",0, 3 days,
